team_slug,player,team,class,pos,ba,obp,slg,ops,gp,pa,ab,r,h,2b,3b,hr,rbi,hbp,bb,k,sb,cs
arizona,Tony Lira,Arizona,SO,1B,0.338,0.416,0.5,0.916,53,245,216,31,73,18,1,5,25,3,26,52,2,0
arizona,Nate Novitske,Arizona,SO,2B,0.298,0.345,0.417,0.762,50,235,218,28,65,11,0,5,27,0,16,35,2,3
arizona,Caleb Danzeisen,Arizona,FR,RF,0.23,0.382,0.338,0.72,43,186,148,24,34,6,2,2,15,2,35,44,3,0
arizona,Andrew Cain,Arizona,JR,LF,0.229,0.338,0.391,0.728,50,229,192,34,44,8,4,5,24,3,30,29,1,3
arizona,Carson McEntire,Arizona,SO,CF,0.228,0.316,0.485,0.802,48,200,171,25,39,10,2,10,33,3,20,63,2,3
arizona,Maddox Mihalakis,Arizona,SR,3B,0.211,0.277,0.317,0.593,50,224,199,27,42,9,3,2,30,3,17,51,1,1
arizona,Easton Breyfogle,Arizona,JR,CF,0.4,0.4,0.4,0.8,2,5,5,0,2,0,0,0,0,0,0,3,0,0
arizona,Beau Sylvester,Arizona,SR,C,0.329,0.392,0.477,0.869,39,172,155,27,51,10,2,3,15,7,9,31,2,0
arizona,Cash Brennan,Arizona,FR,SS,0.276,0.33,0.337,0.667,27,108,98,15,27,3,0,1,11,2,6,37,5,2
arizona,Jackson Forbes,Arizona,SO,2B,0.248,0.321,0.416,0.737,31,117,101,18,25,3,1,4,22,2,9,34,5,2
arizona,Mathis Meurant,Arizona,SR,SS,0.216,0.279,0.328,0.607,37,141,125,12,27,8,0,2,15,4,8,39,6,0
arizona,Roman Meyers,Arizona,SO,C,0.214,0.345,0.386,0.731,24,86,70,13,15,3,0,3,17,4,10,32,0,1
arizona,Joe Forbes,Arizona,FR,C,0.2,0.25,0.4,0.65,5,16,15,1,3,0,0,1,1,0,1,8,0,0
arizona,Tyler Bickers,Arizona,SR,2B,0.182,0.386,0.182,0.568,10,44,33,4,6,0,0,0,3,2,9,11,0,0
arizona,TJ Adams,Arizona,JR,LF,0.179,0.306,0.256,0.563,17,51,39,6,7,0,0,1,7,2,6,14,3,0
arizona,Dom Rodriguez,Arizona,SR,DH,0.152,0.211,0.394,0.604,16,38,33,5,5,2,0,2,5,3,0,12,0,0
arizona,Gavin Triezenberg,Arizona,FR,SS,0.1,0.1,0.1,0.2,2,10,10,0,1,0,0,0,1,0,0,2,0,0
arizona,Tyler Russell,Arizona,SO,,0,0.5,0,0.5,1,2,1,0,0,0,0,0,0,0,1,1,2,0
houston,Tre Broussard,Houston,JR,CF,0.344,0.436,0.472,0.908,44,197,163,29,56,10,1,3,23,2,27,31,25,4
houston,Cade Climie,Houston,SR,DH,0.338,0.426,0.683,1.109,43,163,139,26,47,16,1,10,29,1,21,32,3,1
houston,Tyler Cox,Houston,SR,SS,0.321,0.419,0.389,0.807,55,237,193,33,62,6,2,1,21,7,26,17,4,3
houston,Xavier Perez,Houston,SO,RF,0.288,0.379,0.495,0.874,54,244,208,40,60,10,3,9,36,7,24,49,14,3
houston,Riley Jackson,Houston,JR,C,0.271,0.387,0.512,0.899,51,203,166,25,45,13,0,9,29,9,23,51,0,2
houston,Blake Fields,Houston,FR,LF,0.259,0.387,0.362,0.749,55,231,185,33,48,10,0,3,26,7,34,29,6,5
houston,Antonelli Savattere,Houston,SR,2B,0.238,0.36,0.268,0.628,53,202,164,16,39,5,0,0,23,13,20,23,6,1
houston,Jackson LaLima,Houston,SO,3B,0.229,0.294,0.464,0.758,50,199,179,26,41,13,1,9,26,6,11,48,4,2
houston,Carsten Sabathia III,Houston,SR,DH,0.275,0.368,0.505,0.873,36,106,91,14,25,3,0,6,18,3,11,26,0,0
houston,McClane Helton,Houston,SO,LF,0.235,0.404,0.321,0.725,29,105,81,19,19,7,0,0,4,3,20,29,7,1
houston,Justin Cherrington,Houston,SO,1B,0.211,0.36,0.368,0.728,16,25,19,3,4,0,0,1,5,2,3,8,0,1
houston,Dylan Maxcey,Houston,SR,C,0.204,0.272,0.32,0.592,37,120,103,14,21,3,0,3,13,3,7,23,0,0
houston,Easton Winfield,Houston,JR,DH,0.19,0.333,0.357,0.69,22,51,42,10,8,1,0,2,4,0,9,18,2,2
houston,Irvin Weems III,Houston,SR,LF,0.179,0.324,0.25,0.574,19,35,28,4,5,2,0,0,3,1,5,15,3,2
houston,Peyton Dickens,Houston,FR,LF,0.118,0.238,0.118,0.356,14,21,17,6,2,0,0,0,3,0,3,7,3,0
houston,Carter Sintek,Houston,SR,2B,0.083,0.421,0.083,0.504,9,19,12,4,1,0,0,0,1,2,5,2,0,1
houston,Will Van Wie,Houston,FR,LF,0,0.231,0,0.231,8,13,10,2,0,0,0,0,0,1,2,7,0,1
houston,Caleb Kimble,Houston,FR,P,0,0.1,0,0.1,4,10,9,0,0,0,0,0,0,0,1,6,1,0
houston,Mikey Vanderheyden,Houston,FR,C,0,0.333,0,0.333,6,9,6,1,0,0,0,0,0,1,2,3,0,0
stjohns,Jayder Raifstanger,St. John’s,JR,3B,0.331,0.418,0.432,0.85,58,276,236,45,78,15,0,3,48,7,30,41,7,2
stjohns,Jon Legrande,St. John’s,SR,CF,0.32,0.416,0.473,0.889,55,265,222,49,71,14,1,6,42,12,26,34,25,11
stjohns,Shaun McMillan,St. John’s,SO,1B,0.31,0.386,0.496,0.882,58,264,232,40,72,11,1,10,41,4,26,51,3,1
stjohns,Lewis Rodriguez,St. John’s,JR,LF,0.297,0.383,0.383,0.766,51,213,175,34,52,6,3,1,20,6,19,27,15,2
stjohns,Adam Agresti,St. John’s,SO,C,0.291,0.431,0.621,1.052,58,260,206,46,60,14,0,18,49,9,43,37,8,0
stjohns,Dylan Fitzsimmons,St. John’s,FR,RF,0.28,0.38,0.463,0.843,51,208,175,31,49,13,2,5,27,4,26,47,10,2
stjohns,Rob Mansour,St. John’s,GR,SS,0.246,0.338,0.267,0.604,57,231,195,31,48,4,0,0,23,11,17,25,0,0
stjohns,Ayden Frey,St. John’s,JR,2B,0.234,0.336,0.282,0.618,53,226,188,24,44,9,0,0,17,9,21,55,5,3
stjohns,Cristian Bernardini,St. John’s,JR,RF,0.283,0.307,0.433,0.74,35,129,120,19,34,6,0,4,20,0,5,25,5,2
stjohns,Will Cowan,St. John’s,SO,DH,0.228,0.319,0.415,0.734,36,143,123,20,28,2,3,5,31,0,17,27,5,1
stjohns,Jack Tate,St. John’s,SO,DH,0.216,0.256,0.27,0.526,16,43,37,4,8,2,0,0,6,2,1,9,1,0
stjohns,Declan Spooner,St. John’s,FR,C,0.2,0.333,0.2,0.533,5,12,10,2,2,0,0,0,0,1,1,3,1,0
stjohns,Sean Britt,St. John’s,JR,C,0.133,0.291,0.156,0.446,20,60,45,9,6,1,0,0,3,1,9,14,0,1
stjohns,Chaz Wright,St. John’s,SO,2B,0.071,0.35,0.071,0.421,7,20,14,2,1,0,0,0,0,0,6,5,1,0
stjohns,Robert Jacobsen,St. John’s,GR,2B,0,0.5,0,0.5,2,2,1,1,0,0,0,0,0,0,1,1,0,0
stjohns,Brendan Connolly,St. John’s,JR,,0,1,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0
uconn,Jackson Marshall,Connecticut,SO,1B,0.379,0.48,0.674,1.154,57,271,224,49,85,22,1,14,59,7,38,36,1,1
uconn,Cam Righi,Connecticut,FR,LF,0.328,0.407,0.588,0.994,48,205,177,40,58,10,3,10,44,4,21,42,10,2
uconn,Chris Polemeni,Connecticut,JR,RF,0.297,0.41,0.484,0.895,51,229,192,44,57,9,0,9,34,9,28,39,14,6
uconn,Nater Wachter,Connecticut,JR,RF,0.273,0.379,0.431,0.81,58,253,209,47,57,13,1,6,34,6,33,67,3,3
uconn,Rob Rispoli,Connecticut,SO,SS,0.268,0.418,0.384,0.802,55,251,190,46,51,9,2,3,29,14,37,38,11,5
uconn,Maddix Dalena,Connecticut,JR,3B,0.242,0.379,0.424,0.804,49,205,165,35,40,8,2,6,33,6,31,41,1,1
uconn,Evan Menzel,Connecticut,SO,2B,0.234,0.305,0.323,0.629,46,196,167,26,39,7,1,2,23,2,17,32,4,2
uconn,Tyler Minick,Connecticut,JR,DH,0.283,0.336,0.465,0.8,29,137,127,20,36,8,0,5,21,1,9,24,5,1
uconn,Anthony Belisario,Connecticut,SO,CF,0.283,0.407,0.359,0.766,28,114,92,25,26,4,0,1,10,2,18,24,9,2
uconn,Bryce Detwiler,Connecticut,FR,3B,0.268,0.333,0.415,0.748,18,45,41,3,11,3,0,1,8,0,4,16,0,1
uconn,Peyton Jemison,Connecticut,JR,2B,0.264,0.346,0.385,0.73,29,109,91,18,24,5,0,2,17,6,7,28,3,3
uconn,Steve Thomas,Connecticut,GR,DH,0.25,0.464,0.25,0.714,12,28,20,2,5,0,0,0,3,5,3,8,0,0
uconn,Chase Taylor,Connecticut,JR,LF,0.241,0.343,0.277,0.621,30,104,83,16,20,3,0,0,13,1,13,18,8,2
uconn,Chris Cancel,Connecticut,SO,C,0.217,0.342,0.35,0.692,21,73,60,10,13,5,0,1,8,3,9,12,1,1
uconn,Gabriel Tirado,Connecticut,SO,C,0.216,0.28,0.333,0.613,35,126,111,7,24,10,0,1,23,2,9,32,1,0
uconn,Connor Lane,Connecticut,SO,C,0.063,0.167,0.063,0.229,5,18,16,1,1,0,0,0,0,1,1,5,0,0
xavier,Clay Burdette,Xavier,JR,RF,0.343,0.436,0.701,1.137,51,241,201,43,69,17,2,17,45,14,22,50,10,2
xavier,Jorge Valdes,Xavier,SO,LF,0.301,0.41,0.335,0.745,44,214,176,32,53,3,0,1,20,1,32,30,5,3
xavier,Luke Hammond,Xavier,GR,3B,0.294,0.344,0.457,0.801,58,249,221,31,65,8,2,8,39,9,10,31,2,1
xavier,Jonathan Fitz,Xavier,JR,C,0.289,0.402,0.428,0.83,53,226,187,29,54,11,0,5,34,4,32,28,2,0
xavier,Donavan Canterberry,Xavier,SR,SS,0.261,0.346,0.306,0.652,47,180,157,28,41,7,0,0,11,8,13,34,1,1
xavier,Josh Stonehouse,Xavier,FR,1B,0.251,0.371,0.483,0.854,57,248,203,41,51,8,0,13,41,27,14,64,6,0
xavier,Peter Johnson,Xavier,JR,DH,0.239,0.35,0.348,0.698,47,164,138,14,33,6,0,3,16,6,18,51,2,0
xavier,Tommy Townsend,Xavier,JR,1B,0.231,0.319,0.488,0.806,46,138,121,18,28,5,1,8,20,1,15,35,1,1
xavier,Landon Mensik,Xavier,SO,LF,0.225,0.343,0.464,0.806,49,181,151,21,34,9,0,9,24,9,19,60,3,2
xavier,JD Crisp,Xavier,SO,CF,0.216,0.298,0.315,0.614,45,126,111,18,24,2,0,3,9,2,11,47,6,2
xavier,Eddie Peters,Xavier,SO,SS,0.308,0.366,0.462,0.828,17,71,65,9,20,7,0,1,4,3,3,16,1,1
xavier,Jason Jelic,Xavier,SR,C,0.25,0.286,0.35,0.636,23,44,40,4,10,4,0,0,1,1,1,14,0,0
xavier,Carter Christenson,Xavier,FR,2B,0.226,0.313,0.321,0.634,33,96,84,15,19,5,0,1,10,0,11,23,4,2
xavier,Tanner Thomas,Xavier,SR,2B,0.221,0.314,0.365,0.679,41,123,104,13,23,3,0,4,13,4,11,20,1,0
xavier,Mitchell Morton,Xavier,FR,C,0.174,0.208,0.217,0.426,14,24,23,2,4,1,0,0,1,0,1,11,1,0
xavier,Joey Arend,Xavier,FR,P,0,0.429,0,0.429,6,7,4,1,0,0,0,0,0,2,1,0,0,0
xavier,Alex Junghans,Xavier,FR,2B,0,0,0,0,7,10,10,1,0,0,0,0,0,0,0,5,0,0
creighton,Ben North,Creighton,GR,SS,0.319,0.442,0.556,0.997,57,267,216,51,69,14,2,11,44,13,35,61,26,3
creighton,Connor Capece,Creighton,JR,C,0.299,0.379,0.393,0.772,57,250,214,36,64,11,0,3,48,12,18,39,1,0
creighton,Nate McHugh,Creighton,SR,DH,0.295,0.383,0.466,0.849,57,269,234,43,69,13,3,7,44,10,24,34,2,1
creighton,Teddy Deters,Creighton,GR,RF,0.28,0.414,0.48,0.894,54,251,200,47,56,13,0,9,34,14,34,57,8,4
creighton,Isaac Wachsmann,Creighton,SO,CF,0.276,0.376,0.53,0.906,57,258,217,51,60,11,1,14,48,5,32,51,12,2
creighton,Rocco Gump,Creighton,GR,3B,0.265,0.415,0.403,0.818,57,270,211,44,56,11,3,4,27,19,35,48,9,4
creighton,Nick Venteicher,Creighton,SO,2B,0.247,0.328,0.349,0.678,52,201,166,21,41,2,0,5,33,6,17,30,8,2
creighton,Lew Rice,Creighton,GR,LF,0.244,0.34,0.325,0.665,48,189,160,25,39,7,0,2,16,4,21,31,5,1
creighton,Chris Baillargeon,Creighton,GR,1B,0.238,0.329,0.342,0.671,54,224,193,29,46,8,0,4,22,2,25,53,1,1
creighton,Joe Washburn,Creighton,FR,2B,0.286,0.324,0.349,0.673,23,70,63,6,18,4,0,0,9,0,4,19,7,1
creighton,Cooper Fuchino,Creighton,JR,DH,0.211,0.25,0.316,0.566,9,20,19,3,4,2,0,0,2,1,0,6,1,0
creighton,Nick Bowron,Creighton,FR,1B,0.209,0.375,0.233,0.608,18,56,43,4,9,1,0,0,3,0,12,21,1,0
creighton,Jaxon Goldberg,Creighton,SO,SS,0.2,0.333,0.2,0.533,5,6,5,0,1,0,0,0,2,1,0,1,0,0
creighton,Brody Shinkle,Creighton,FR,RF,0.125,0.222,0.125,0.347,6,9,8,1,1,0,0,0,0,0,1,2,0,0
creighton,Shane Curtin,Creighton,SR,P,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
georgetown,Connor Peek,Georgetown,GR,SS,0.341,0.442,0.493,0.935,56,267,217,55,74,15,0,6,45,12,32,17,17,2
georgetown,Jeremy Sheffield,Georgetown,SR,1B,0.316,0.434,0.448,0.882,55,258,212,40,67,14,1,4,47,3,42,35,15,3
georgetown,Travis Ilitch,Georgetown,SR,LF,0.313,0.403,0.333,0.736,55,234,195,30,61,4,0,0,29,9,21,29,9,3
georgetown,Ashtin Gilio,Georgetown,JR,DH,0.283,0.386,0.446,0.832,51,200,166,30,47,10,4,3,31,3,26,51,7,2
georgetown,AJ Solomon,Georgetown,GR,2B,0.27,0.451,0.392,0.843,56,259,189,45,51,8,3,3,31,6,58,41,6,2
georgetown,Connor Price,Georgetown,GR,C,0.245,0.369,0.457,0.826,46,187,151,31,37,8,0,8,28,10,22,53,2,0
georgetown,Dylan Larkins,Georgetown,SO,CF,0.236,0.317,0.337,0.654,50,206,178,27,42,8,2,2,23,1,21,42,12,1
georgetown,Brett Blair,Georgetown,GR,3B,0.311,0.419,0.426,0.845,21,75,61,16,19,1,0,2,17,2,10,22,3,3
georgetown,Jordan Kahn,Georgetown,SR,RF,0.283,0.377,0.4,0.777,30,73,60,12,17,4,0,1,9,4,5,23,3,0
georgetown,Ashton Seymore,Georgetown,SO,1B,0.274,0.353,0.425,0.778,40,133,113,20,31,5,0,4,23,8,8,24,2,0
georgetown,Christian Hamilton,Georgetown,SO,RF,0.259,0.423,0.444,0.867,37,142,108,26,28,3,1,5,22,1,31,32,4,2
georgetown,Dante Pozzi,Georgetown,GR,3B,0.195,0.353,0.341,0.694,21,51,41,11,8,0,0,2,3,1,9,9,2,1
georgetown,Jackson Thomas,Georgetown,SO,CF,0.191,0.269,0.468,0.737,21,53,47,9,9,1,0,4,11,0,5,17,5,0
georgetown,Drew Rybinski,Georgetown,FR,DH,0.19,0.19,0.333,0.524,17,21,21,1,4,3,0,0,0,0,0,11,0,0
georgetown,Dom Cafferillo,Georgetown,SO,C,0.167,0.352,0.238,0.59,17,54,42,12,7,0,0,1,7,6,6,15,1,1
georgetown,Braxton Templin,Georgetown,JR,3B,0.156,0.308,0.234,0.542,31,84,64,7,10,2,0,1,9,5,9,21,0,0
butler,Charlie Schebler,Butler,JR,2B,0.324,0.386,0.493,0.879,50,158,142,20,46,9,0,5,24,1,14,32,2,2
butler,Danny Gavin,Butler,JR,DH,0.288,0.44,0.412,0.852,53,219,170,48,49,4,1,5,30,3,44,52,12,1
butler,Gavin Gilmore,Butler,JR,RF,0.286,0.344,0.447,0.791,50,228,199,37,57,12,1,6,36,5,15,49,6,1
butler,Matthew Rhoades,Butler,JR,1B,0.271,0.367,0.589,0.956,54,248,214,46,58,11,0,19,43,12,21,69,1,0
butler,David Ayers,Butler,JR,CF,0.268,0.362,0.5,0.862,53,224,194,40,52,8,2,11,40,12,17,75,16,2
butler,Logan Crock,Butler,SO,SS,0.24,0.36,0.331,0.691,49,192,154,31,37,6,1,2,26,7,23,32,10,6
butler,Easton Moore,Butler,JR,3B,0.326,0.38,0.478,0.858,23,50,46,8,15,2,1,1,9,2,2,12,1,0
butler,Logan Baker,Butler,SR,LF,0.266,0.361,0.33,0.691,36,111,94,15,25,3,0,1,7,2,12,16,6,0
butler,Aidan Thaxton,Butler,SO,2B,0.242,0.382,0.371,0.753,25,76,62,12,15,3,1,1,7,10,4,7,0,0
butler,Connor Sackett,Butler,SR,C,0.219,0.284,0.315,0.599,33,82,73,4,16,2,1,1,19,3,4,20,2,0
butler,Will White,Butler,JR,C,0.208,0.321,0.347,0.669,26,84,72,8,15,1,0,3,11,4,8,22,5,2
butler,Gunnar Duncan,Butler,SO,C,0.202,0.302,0.284,0.586,37,128,109,19,22,0,0,3,19,3,13,40,2,2
butler,Caiden Brezinski,Butler,FR,CF,0.2,0.333,0.2,0.533,4,6,5,0,1,0,0,0,1,0,1,2,0,0
butler,Chris Lewis,Butler,SO,2B,0.182,0.308,0.212,0.52,19,39,33,6,6,1,0,0,1,1,5,13,0,1
